课程号,课程名称,学分,教师号,教师姓名,上课时间,上课地点,容量,人数,校区,选课限制,答疑时间,答疑地点
853001,体育(1),1,2202,张耘,一05-06男女排球,排球场,21,21,嘉定,人数已满,一15:45-17:15,田径场
853001,体育(1),1,2204,张耘,二03-04男女排球,排球场,21,22,嘉定,人数已满,一15:45-17:15,田径场
853001,体育(1),1,2206,张耘,二07-08男女排球,排球场,20,20,嘉定,人数已满,一15:45-17:15,田径场
853001,体育(1),1,2264,陆志超,三01-02男生足球,足球场,20,4,嘉定,,二15:45-17:15,田径场
853001,体育(1),1,2265,陆志超,三03-04男生足球,足球场,20,7,嘉定,,二15:45-17:15,田径场
853001,体育(1),1,2266,陆志超,三05-06男生足球,足球场,20,14,嘉定,,二15:45-17:15,田径场
853001,体育(1),1,2403,闵伟,二05-06女生羽毛球,体育馆内场,22,22,嘉定,人数已满,四15:45-17:15,田径场
853001,体育(1),1,2406,闵伟,四05-06女生羽毛球,体育馆内场,22,22,嘉定,人数已满,四15:45-17:15,田径场
853001,体育(1),1,2421,许凤,一03-04女生羽毛球,体育馆内场,20,19,嘉定,,一15:45-17:15,田径场
853001,体育(1),1,2423,许凤,一07-08男生羽毛球,体育馆内场,21,21,嘉定,人数已满,一15:45-17:15,田径场
853001,体育(1),1,2425,许凤,三01-02男生羽毛球,体育馆内场,20,18,嘉定,,一15:45-17:15,田径场
853001,体育(1),1,2427,许凤,三09-10女生羽毛球,体育馆内场,20,19,嘉定,,一15:45-17:15,田径场
853001,体育(1),1,2505,刘春辉,四03-04男女乒乓球,体育馆内场,21,22,嘉定,人数已满,三15:45-17:15,田径场
853001,体育(1),1,2506,刘春辉,四07-08男女乒乓球,体育馆内场,20,18,嘉定,,三15:45-17:15,田径场
853001,体育(1),1,2507,刘春辉,五01-02男女乒乓球,体育馆内场,20,20,嘉定,人数已满,三15:45-17:15,田径场
853001,体育(1),1,2514,王旨明,三01-02男生篮球,篮球场,20,13,嘉定,,三12:30-14:00,田径场南侧办公室
853001,体育(1),1,2516,王旨明,三05-06男生篮球,篮球场,20,20,嘉定,人数已满,三12:30-14:00,田径场南侧办公室
853001,体育(1),1,2566,陈琳,四03-04男女跆拳道,体操房,21,21,嘉定,人数已满,四12:00-13:30,田径场
853001,体育(1),1,2571,时静,一05-06女生操舞,体操房,20,20,嘉定,人数已满,一12:30-14:00,体操房
853001,体育(1),1,2805,陆英浩,三01-02女生网球,网球场,20,19,嘉定,,二15:45-17:15,田径场
853001,体育(1),1,2806,陆英浩,三03-04男生网球,网球场,20,11,嘉定,,二15:45-17:15,田径场
853001,体育(1),1,2807,陆英浩,三05-06女生网球,网球场,21,21,嘉定,人数已满,二15:45-17:15,田径场
853002,体育(2),1,2504,刘春辉,四01-02男女乒乓球,体育馆内场,20,19,嘉定,,三15:45-17:15,田径场
853004,体育(4),1,2201,张耘,一03-04男女排球,排球场,20,18,嘉定,,一15:45-17:15,田径场
853004,体育(4),1,2203,张耘,一07-08男女排球,排球场,22,17,嘉定,,一15:45-17:15,田径场
853004,体育(4),1,2205,张耘,二05-06男女排球,排球场,20,20,嘉定,人数已满,一15:45-17:15,田径场
853004,体育(4),1,2261,陆志超,二01-02男生足球,足球场,20,18,嘉定,,二15:45-17:15,田径场
853004,体育(4),1,2262,陆志超,二03-04男生足球,足球场,22,22,嘉定,人数已满,二15:45-17:15,田径场
853004,体育(4),1,2263,陆志超,二05-06男生足球,足球场,20,11,嘉定,,二15:45-17:15,田径场
853004,体育(4),1,2401,闵伟,二01-02女生羽毛球,体育馆内场,20,20,,,,
853004,体育(4),1,2402,闵伟,二03-04女生羽毛球,体育馆内场,20,20,嘉定,人数已满,四15:45-17:15,田径场
853004,体育(4),1,2404,闵伟,四01-02男生羽毛球,体育馆内场,20,20,嘉定,人数已满,四15:45-17:15,田径场
853004,体育(4),1,2405,闵伟,四03-04女生羽毛球,体育馆内场,22,21,嘉定,,四15:45-17:15,田径场
